Dataset 0,,Dataset 1,,Dataset 2,,Dataset 3,,Dataset 4,,Dataset 5,,Dataset 6,,Dataset 7,
X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
5.908498710420446,53.90987139687594,7.061799844923158,63.70121214284676,3.9139064695883214,61.71830614477892,5.832859065333176,60.54852875497824,11.087036591260915,64.26894782266635,3.8327905564435416,47.03773502020795,5.6726802230407,57.436459448669204,5.835216314790522,42.792011479005595
6.19857509364301,58.80976645070698,7.618245416825831,64.3694464435604,4.091179735723328,61.20366722537331,6.098470566687711,62.024319983423496,11.788022365348972,63.93428955572648,4.015215132630058,49.433323873686774,5.783766539134589,54.92636634469049,6.070310789836938,44.71921087626107
6.422423992111563,62.01954425725017,8.06681876356138,64.19372421128551,4.303008283347932,59.01809423911223,6.389130649775902,62.52736314034702,0.5920339590072978,40.26150314402635,4.172597760035934,52.7516965725861,5.912324189539797,50.121765396194874,6.205292630985477,49.9220311936901
3.0011801107307874,72.82058207053657,8.208006781058998,64.36075217283461,4.459454813999608,56.87373604184809,6.555229181538959,62.76166761368136,,,4.271703262221214,57.06252417111513,6.039731758781189,48.61722971917197,6.337555528315493,54.74909302186358
,,8.490405266049063,64.5256984075902,4.645835487457223,54.49730798065255,7.43552490888926,64.20303075459763,,,4.337695022029489,60.52829314600025,6.2572967967915645,54.46842726829281,6.456058574368667,58.94125811134585
,,8.875295460778213,64.35091499328101,4.828815190788671,52.71127544965989,7.759534459300191,63.77548080756781,,,4.403653106845518,64.24772665339927,6.447609144647114,60.018045581644316,7.186397316240024,63.699375325087786
,,9.163254061154971,64.34666990334915,5.011545903268349,52.80082309846694,8.00043412884355,63.68737478239584,,,4.477886259756572,68.20379126996065,6.546937275947808,62.651868770775934,7.551793432123503,64.37042607969852
,,9.362610015261957,64.34373099493482,5.196255495864865,51.88855368441841,8.266082876780418,64.88259766427268,,,4.585405458754964,71.70699765213651,7.751194286220153,64.02926779459898,10.459022862860715,64.66578637534106
,,9.728095931124765,64.33834299617516,5.377178764551873,51.68853532146483,8.448805425625611,65.03363974520431,,,4.742699051522248,75.69604400139454,8.315901456220953,65.03559901748055,10.716479403592574,65.00020966199105
,,9.910850114053584,64.25109415262403,5.5437411721677385,48.42858950718689,8.614962826264005,64.82450103577362,,,4.925348127657081,76.4005359714474,8.764542152940999,64.35254772017787,11.223220686937493,64.65452055975271
,,10.184998225942937,63.9933886210404,5.710255051511949,45.534193928316185,8.81671594093026,64.64168032894237,,,5.108303340085078,74.79898673682848,10.081223124832627,63.57214508164972,11.522209718108309,64.98833157381637
,,11.148529554131871,64.14829358538029,5.892825892816308,46.82800753956295,8.963853207058321,64.68782818844872,,,5.291489175187255,71.46021979469015,11.887875233929773,63.63006606831595,12.43608165772915,63.79109375851907
,,11.83799134541336,63.96902017210472,6.066848252300703,49.94474106421973,9.670040244489554,63.66276142442563,,,5.4746913375584025,67.99846398830267,,,,
,,12.336291430701499,64.63811165443923,6.215807335509371,54.14491263822249,10.006442192047677,63.7423568606477,,,5.657848599939884,64.87492755860038,,,,
